Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 004; 19 357 ; 10 653 ; 8 704 ;  1 093,15 ;  1 196,79 ;   966,31 ;   750,00 ;   800,00 ;   600,00 ;3550704003004
São Vicente; 191 073 ; 100 216 ; 90 857 ;  1 328,73 ;  1 583,03 ;  1 048,23 ;   900,00 ;  1 000,00 ;   700,00 ;3551009
Área 001; 19 420 ; 10 426 ; 8 994 ;   855,66 ;  1 009,35 ;   677,50 ;   680,00 ;   800,00 ;   510,00 ;3551009005001
Área 002; 14 542 ; 7 697 ; 6 844 ;  1 186,64 ;  1 401,10 ;   945,47 ;   804,00 ;  1 000,00 ;   700,00 ;3551009005002
Área 003; 28 658 ; 13 450 ; 15 209 ;  2 421,20 ;  3 033,52 ;  1 879,70 ;  1 500,00 ;  2 000,00 ;  1 200,00 ;3551009005003
Área 004; 19 898 ; 10 627 ; 9 270 ;  1 217,11 ;  1 438,48 ;   963,32 ;   900,00 ;  1 100,00 ;   700,00 ;3551009005004
Área 005; 15 196 ; 7 896 ; 7 300 ;  1 239,33 ;  1 484,79 ;   973,83 ;   900,00 ;  1 200,00 ;   700,00 ;3551009005005
Área 006; 14 975 ; 7 950 ; 7 025 ;   897,29 ;  1 053,81 ;   720,18 ;   700,00 ;   800,00 ;   515,00 ;3551009005006
Área 007; 15 594 ; 8 124 ; 7 470 ;  1 433,75 ;  1 712,82 ;  1 130,23 ;   950,00 ;  1 100,00 ;   800,00 ;3551009005007
Área 008; 13 101 ; 6 761 ; 6 340 ;  1 885,33 ;  2 362,50 ;  1 376,53 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3551009005008
Área 009; 14 363 ; 7 966 ; 6 397 ;  1 023,45 ;  1 257,63 ;   731,84 ;   800,00 ;  1 000,00 ;   600,00 ;3551009005009
Área 010; 19 948 ; 10 850 ; 9 098 ;   848,28 ;  1 025,88 ;   636,48 ;   700,00 ;   900,00 ;   560,00 ;3551009005010
Área 011; 15 379 ; 8 469 ; 6 909 ;  1 005,13 ;  1 193,99 ;   773,63 ;   800,00 ;  1 000,00 ;   600,00 ;3551009005011
Serrana; 23 141 ; 13 124 ; 10 017 ;  1 125,40 ;  1 386,64 ;   783,12 ;   800,00 ;  1 000,00 ;   600,00 ;3551504
Área 001; 9 496 ; 5 349 ; 4 147 ;  1 006,21 ;  1 239,97 ;   704,65 ;   800,00 ;  1 000,00 ;   600,00 ;3551504003001
Área 002; 13 645 ; 7 774 ; 5 870 ;  1 208,35 ;  1 487,57 ;   838,55 ;   820,00 ;  1 000,00 ;   620,00 ;3551504003002
Sertãozinho; 66 309 ; 37 426 ; 28 883 ;  1 558,30 ;  1 919,07 ;  1 090,83 ;  1 000,00 ;  1 200,00 ;   700,00 ;3551702
Área 001; 8 602 ; 4 394 ; 4 208 ;  2 437,26 ;  3 146,91 ;  1 696,19 ;  1 500,00 ;  2 000,00 ;  1 000,00 ;3551702003001
Área 002; 10 479 ; 5 933 ; 4 546 ;  1 179,55 ;  1 441,63 ;   837,51 ;   852,00 ;  1 200,00 ;   600,00 ;3551702003002
Área 003; 8 597 ; 5 015 ; 3 582 ;  1 100,96 ;  1 304,94 ;   815,38 ;   814,00 ;  1 000,00 ;   615,00 ;3551702003003
Área 004; 8 097 ; 4 327 ; 3 770 ;  1 521,48 ;  2 003,25 ;   968,43 ;   950,00 ;  1 200,00 ;   700,00 ;3551702003004
Área 005; 16 063 ; 9 604 ; 6 459 ;  1 169,48 ;  1 410,62 ;   810,91 ;   851,00 ;  1 200,00 ;   600,00 ;3551702003005
Área 006; 14 472 ; 8 153 ; 6 319 ;  2 034,00 ;  2 536,84 ;  1 385,27 ;  1 200,00 ;  1 500,00 ;   800,00 ;3551702003006
Socorro; 25 932 ; 13 669 ; 12 263 ;  1 092,43 ;  1 241,55 ;   926,21 ;   700,00 ;   800,00 ;   600,00 ;3552106
Área 001; 12 826 ; 7 076 ; 5 750 ;   875,54 ;   984,82 ;   741,06 ;   600,00 ;   700,00 ;   510,00 ;3552106003001
Área 002; 13 106 ; 6 593 ; 6 513 ;  1 304,68 ;  1 517,05 ;  1 089,68 ;   800,00 ;   860,00 ;   700,00 ;3552106003002
Sorocaba; 354 813 ; 189 955 ; 164 859 ;  1 731,76 ;  2 049,55 ;  1 365,59 ;  1 000,00 ;  1 200,00 ;   800,00 ;3552205
Macro Barcelona; 16 973 ; 8 588 ; 8 385 ;  1 174,13 ;  1 343,22 ;  1 000,92 ;   850,00 ;  1 000,00 ;   715,00 ;3552205005015
Macro Campolim; 17 184 ; 8 733 ; 8 452 ;  3 859,55 ;  4 978,22 ;  2 703,63 ;  2 000,00 ;  2 600,00 ;  1 600,00 ;3552205005005
Macro Central Parque-Jardim São Paulo; 19 356 ; 10 607 ; 8 749 ;  1 946,89 ;  2 357,17 ;  1 449,49 ;  1 110,00 ;  1 400,00 ;   900,00 ;3552205005001
Macro Centro; 19 175 ; 8 843 ; 10 332 ;  3 236,25 ;  3 525,71 ;  2 988,51 ;  1 601,00 ;  2 000,00 ;  1 500,00 ;3552205005010
Macro Éden-Ibiti; 17 266 ; 9 750 ; 7 516 ;  2 012,40 ;  2 492,16 ;  1 390,08 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3552205005018
Macro Fiori-Brasilândia; 21 353 ; 11 286 ; 10 067 ;  2 134,99 ;  2 546,62 ;  1 673,50 ;  1 000,00 ;  1 400,00 ;   900,00 ;3552205005012
Macro Formosa; 19 193 ; 10 796 ; 8 397 ;  1 262,85 ;  1 493,85 ;   965,87 ;   900,00 ;  1 100,00 ;   618,00 ;3552205005013
Macro Laranjeiras-Habiteto; 20 492 ; 11 203 ; 9 289 ;   943,30 ;  1 131,76 ;   716,02 ;   757,00 ;   900,00 ;   600,00 ;3552205005009
Macro Leste; 16 357 ; 8 681 ; 7 677 ;  3 088,98 ;  4 037,87 ;  2 016,03 ;  1 500,00 ;  2 000,00 ;  1 200,00 ;3552205005017
Macro Nordeste; 16 936 ; 9 945 ; 6 990 ;  1 085,49 ;  1 244,25 ;   859,61 ;   800,00 ;  1 000,00 ;   600,00 ;3552205005019
Macro Nova Sorocaba; 19 918 ; 11 001 ; 8 917 ;  1 286,00 ;  1 581,40 ;   921,56 ;   990,00 ;  1 200,00 ;   713,00 ;3552205005008
Macro Parque São Bento; 19 400 ; 10 883 ; 8 516 ;  1 160,82 ;  1 391,56 ;   865,95 ;   800,00 ;  1 000,00 ;   620,00 ;3552205005004
Macro Santa Rosália; 20 262 ; 10 183 ; 10 079 ;  2 021,90 ;  2 429,98 ;  1 609,64 ;  1 100,00 ;  1 500,00 ;  1 000,00 ;3552205005011
Macro Simus; 17 853 ; 9 068 ; 8 785 ;  1 884,57 ;  2 218,86 ;  1 539,49 ;  1 050,00 ;  1 300,00 ;   900,00 ;3552205005006
Macro Sorocaba I; 19 662 ; 10 371 ; 9 290 ;  1 168,46 ;  1 404,07 ;   905,44 ;   870,00 ;  1 020,00 ;   700,00 ;3552205005002
Macro Vila Helena; 25 056 ; 13 791 ; 11 265 ;   964,04 ;  1 113,28 ;   781,32 ;   790,00 ;   900,00 ;   600,00 ;3552205005007
Macro Vila Hortência; 15 993 ; 8 024 ; 7 969 ;  1 760,36 ;  2 072,36 ;  1 446,23 ;  1 020,00 ;  1 300,00 ;   800,00 ;3552205005016
Macro Vitória Régia; 16 600 ; 9 480 ; 7 121 ;   970,23 ;  1 156,88 ;   721,74 ;   800,00 ;   950,00 ;   600,00 ;3552205005014
Macro Wanel Ville; 15 784 ; 8 722 ; 7 062 ;  1 362,73 ;  1 598,59 ;  1 071,46 ;  1 000,00 ;  1 200,00 ;   800,00 ;3552205005003
Sumaré; 139 146 ; 78 054 ; 61 093 ;  1 361,48 ;  1 612,65 ;  1 040,58 ;   900,00 ;  1 020,00 ;   700,00 ;3552403
Área Cura 1; 8 918 ; 5 082 ; 3 837 ;  1 036,13 ;  1 232,53 ;   775,99 ;   800,00 ;  1 000,00 ;   680,00 ;3552403005001
Área Cura 2; 10 994 ; 6 221 ; 4 774 ;  1 406,92 ;  1 897,86 ;   767,21 ;   800,00 ;  1 000,00 ;   662,00 ;3552403005002
Área Cura 3; 8 927 ; 5 109 ; 3 818 ;  1 124,73 ;  1 305,99 ;   882,19 ;   900,00 ;  1 020,00 ;   700,00 ;3552403005003
Centro 1; 9 353 ; 4 974 ; 4 380 ;  1 925,65 ;  2 383,16 ;  1 406,08 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3552403005004
Centro 2; 9 634 ; 5 360 ; 4 274 ;  2 058,43 ;  2 207,42 ;  1 871,61 ;  1 050,00 ;  1 200,00 ;  1 000,00 ;3552403005005
Centro 3; 8 316 ; 4 602 ; 3 714 ;  1 840,39 ;  2 161,06 ;  1 443,10 ;  1 300,00 ;  1 600,00 ;  1 000,00 ;3552403005006
Maria Antonia 1; 9 769 ; 5 658 ; 4 112 ;  1 086,90 ;  1 283,87 ;   815,85 ;   820,00 ;  1 000,00 ;   700,00 ;3552403005007
Maria Antonia 2; 11 329 ; 6 428 ; 4 901 ;   990,13 ;  1 187,94 ;   730,70 ;   800,00 ;  1 000,00 ;   600,00 ;3552403005008
Matão 1; 9 103 ; 5 080 ; 4 023 ;  1 048,56 ;  1 260,34 ;   781,16 ;   800,00 ;  1 000,00 ;   630,00 ;3552403005009
Matão 2; 11 463 ; 6 404 ; 5 059 ;  1 104,93 ;  1 302,67 ;   854,59 ;   800,00 ;  1 000,00 ;   700,00 ;3552403005010
Nova Veneza 1; 8 900 ; 4 828 ; 4 072 ;  1 339,66 ;  1 573,85 ;  1 061,99 ;   900,00 ;  1 078,00 ;   700,00 ;3552403005011
Nova Veneza 2; 8 071 ; 4 524 ; 3 547 ;  1 253,25 ;  1 492,16 ;   948,54 ;   990,00 ;  1 200,00 ;   724,00 ;3552403005012
Nova Veneza 3; 7 552 ; 4 273 ; 3 279 ;  2 365,74 ;  2 750,32 ;  1 864,65 ;  1 600,00 ;  2 000,00 ;  1 200,00 ;3552403005013
Picerno 1; 7 804 ; 4 393 ; 3 411 ;   927,47 ;  1 065,38 ;   749,89 ;   800,00 ;   900,00 ;   600,00 ;3552403005014
Picerno 2; 9 011 ; 5 120 ; 3 891 ;  1 149,63 ;  1 382,43 ;   843,34 ;   850,00 ;  1 000,00 ;   650,00 ;3552403005015
Suzano; 144 002 ; 78 765 ; 65 237 ;  1 159,14 ;  1 360,67 ;   915,82 ;   800,00 ;   900,00 ;   600,00 ;3552502
Boa Vista Paulista; 42 367 ; 23 439 ; 18 927 ;   846,05 ;   991,36 ;   666,09 ;   700,00 ;   800,00 ;   510,00 ;3552502005002
Palmeiras de São Paulo; 12 433 ; 7 071 ; 5 362 ;  1 089,07 ;  1 250,15 ;   876,67 ;   600,00 ;   800,00 ;   510,00 ;3552502005003
Suzano; 89 202 ; 48 254 ; 40 947 ;  1 317,61 ;  1 556,25 ;  1 036,38 ;   850,00 ;  1 000,00 ;   700,00 ;3552502005001
Taboão da Serra; 140 097 ; 71 568 ; 68 529 ;  1 349,82 ;  1 563,79 ;  1 126,37 ;   900,00 ;  1 000,00 ;   800,00 ;3552809
Área 001; 12 218 ; 6 289 ; 5 929 ;  1 986,19 ;  2 398,52 ;  1 548,78 ;  1 020,00 ;  1 300,00 ;  1 000,00 ;3552809005001
Área 002; 11 214 ; 5 552 ; 5 662 ;  1 902,29 ;  2 232,44 ;  1 578,60 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3552809005002
Área 003; 13 464 ; 6 671 ; 6 794 ;  2 302,00 ;  2 742,15 ;  1 869,83 ;  1 500,00 ;  1 650,00 ;  1 200,00 ;3552809005003
Área 004; 13 967 ; 6 853 ; 7 113 ;  1 490,65 ;  1 689,67 ;  1 298,89 ;  1 000,00 ;  1 200,00 ;   900,00 ;3552809005004
Área 005; 11 163 ; 5 892 ; 5 271 ;  1 283,88 ;  1 458,88 ;  1 088,24 ;  1 000,00 ;  1 000,00 ;   800,00 ;3552809005005
Área 006; 16 789 ; 8 531 ; 8 258 ;   995,87 ;  1 150,58 ;   836,06 ;   800,00 ;   990,00 ;   700,00 ;3552809005006
Área 007; 18 050 ; 9 556 ; 8 494 ;  1 026,70 ;  1 179,14 ;   855,19 ;   800,00 ;   900,00 ;   700,00 ;3552809005007
Área 008; 22 067 ; 11 461 ; 10 606 ;   906,86 ;  1 024,88 ;   779,33 ;   715,00 ;   800,00 ;   600,00 ;3552809005008
Área 009; 13 311 ; 6 560 ; 6 751 ;  1 013,09 ;  1 217,33 ;   814,64 ;   800,00 ;  1 000,00 ;   680,00 ;3552809005009
Área 010; 7 855 ; 4 203 ; 3 652 ;  1 096,44 ;  1 226,64 ;   946,59 ;   850,00 ;   980,00 ;   750,00 ;3552809005010
Taquaritinga; 34 525 ; 18 879 ; 15 646 ;  1 138,47 ;  1 363,95 ;   866,40 ;   710,00 ;   860,00 ;   587,00 ;3553708
Área 001; 8 231 ; 4 599 ; 3 632 ;   774,17 ;   924,38 ;   583,96 ;   600,00 ;   800,00 ;   510,00 ;3553708003001
Área 002; 12 953 ; 7 216 ; 5 737 ;   895,09 ;  1 063,72 ;   683,01 ;   700,00 ;   800,00 ;   532,00 ;3553708003002
Área 003; 13 341 ; 7 064 ; 6 277 ;  1 599,53 ;  1 956,77 ;  1 197,46 ;  1 000,00 ;  1 100,00 ;   700,00 ;3553708003003
Tatuí; 65 036 ; 35 355 ; 29 680 ;  1 234,29 ;  1 426,94 ;  1 004,81 ;   800,00 ;   910,00 ;   650,00 ;3554003
Área 001; 8 648 ; 4 855 ; 3 792 ;  1 260,92 ;  1 394,60 ;  1 089,77 ;   900,00 ;  1 000,00 ;   700,00 ;3554003003001
Área 002; 21 071 ; 11 078 ; 9 993 ;  1 317,14 ;  1 547,61 ;  1 061,64 ;   800,00 ;   960,00 ;   700,00 ;3554003003002
Área 003; 15 767 ; 8 980 ; 6 787 ;  1 169,57 ;  1 417,46 ;   841,60 ;   700,00 ;   800,00 ;   560,00 ;3554003003003
Área 004; 19 550 ; 10 442 ; 9 108 ;  1 185,43 ;  1 322,12 ;  1 028,72 ;   800,00 ;   960,00 ;   700,00 ;3554003003004
Taubaté; 164 348 ; 90 387 ; 73 961 ;  1 666,57 ;  2 020,97 ;  1 233,46 ;  1 000,00 ;  1 100,00 ;   730,00 ;3554102
Área 001; 8 297 ; 4 335 ; 3 962 ;  1 709,86 ;  1 955,37 ;  1 441,20 ;  1 100,00 ;  1 450,00 ;  1 000,00 ;3554102003001
Área 002; 10 926 ; 6 314 ; 4 612 ;  1 365,27 ;  1 652,27 ;   972,32 ;   900,00 ;  1 000,00 ;   700,00 ;3554102003002
Área 003; 8 152 ; 4 532 ; 3 620 ;  1 123,10 ;  1 311,06 ;   887,76 ;   800,00 ;   940,00 ;   600,00 ;3554102003003
Área 004; 8 334 ; 4 897 ; 3 437 ;  1 058,47 ;  1 275,55 ;   749,12 ;   800,00 ;  1 000,00 ;   560,00 ;3554102003004
Área 005; 8 949 ; 4 936 ; 4 013 ;  1 408,26 ;  1 718,17 ;  1 027,06 ;   800,00 ;  1 000,00 ;   600,00 ;3554102003005
Área 006; 8 590 ; 4 597 ; 3 994 ;  1 100,28 ;  1 372,43 ;   787,03 ;   800,00 ;  1 000,00 ;   600,00 ;3554102003006
Área 007; 9 063 ; 4 769 ; 4 295 ;  1 513,29 ;  1 776,50 ;  1 221,05 ;  1 000,00 ;  1 115,00 ;   800,00 ;3554102003007
Área 008; 9 324 ; 5 346 ; 3 978 ;  1 502,75 ;  1 695,04 ;  1 244,39 ;   900,00 ;  1 020,00 ;   720,00 ;3554102003008
Área 009; 12 394 ; 6 285 ; 6 108 ;  2 141,24 ;  2 560,22 ;  1 710,11 ;  1 300,00 ;  1 500,00 ;  1 000,00 ;3554102003009
Área 010; 10 924 ; 6 685 ; 4 238 ;  1 393,91 ;  1 665,17 ;   966,03 ;   790,00 ;   900,00 ;   600,00 ;3554102003010
Área 011; 25 920 ; 14 246 ; 11 674 ;  1 973,53 ;  2 536,21 ;  1 286,86 ;  1 000,00 ;  1 300,00 ;   800,00 ;3554102003011
Área 012; 9 343 ; 5 211 ; 4 131 ;  2 015,45 ;  2 314,90 ;  1 637,71 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3554102003012
Área 013; 16 183 ; 8 078 ; 8 105 ;  2 548,71 ;  3 372,78 ;  1 727,42 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3554102003013
Área 014; 17 950 ; 10 155 ; 7 794 ;  1 339,43 ;  1 633,16 ;   956,73 ;   800,00 ;  1 000,00 ;   600,00 ;3554102003014
Tietê; 23 954 ; 12 643 ; 11 312 ;  1 395,16 ;  1 572,63 ;  1 196,79 ;   800,00 ;  1 000,00 ;   700,00 ;3554508
Área 001; 11 100 ; 5 939 ; 5 161 ;  1 346,38 ;  1 438,91 ;  1 239,90 ;   800,00 ;  1 000,00 ;   670,00 ;3554508003001
Área 002; 12 855 ; 6 704 ; 6 151 ;  1 437,27 ;  1 691,09 ;  1 160,61 ;   850,00 ;  1 000,00 ;   700,00 ;3554508003002
Tremembé; 21 693 ; 11 929 ; 9 764 ;  1 618,48 ;  1 957,23 ;  1 204,62 ;   840,00 ;  1 000,00 ;   630,00 ;3554805
Área 001; 8 525 ; 4 731 ; 3 795 ;  1 244,75 ;  1 487,68 ;   941,89 ;   700,00 ;   900,00 ;   525,00 ;3554805003001
Área 002; 13 167 ; 7 198 ; 5 969 ;  1 860,46 ;  2 265,84 ;  1 371,63 ;  1 000,00 ;  1 200,00 ;   715,00 ;3554805003002
Tupã; 41 097 ; 21 506 ; 19 591 ;  1 386,48 ;  1 721,36 ;  1 018,85 ;   700,00 ;   850,00 ;   600,00 ;3555000
Área 001; 8 007 ; 3 984 ; 4 023 ;  1 889,24 ;  2 459,89 ;  1 324,03 ;  1 000,00 ;  1 150,00 ;   700,00 ;3555000003001
Área 002; 15 552 ; 8 135 ; 7 417 ;  1 403,34 ;  1 800,46 ;   967,76 ;   700,00 ;   800,00 ;   580,00 ;3555000003002
Área 003; 17 537 ; 9 387 ; 8 151 ;  1 141,98 ;  1 339,31 ;   914,73 ;   675,00 ;   800,00 ;   550,00 ;3555000003003
Ubatuba; 46 986 ; 25 074 ; 21 911 ;  1 313,71 ;  1 526,65 ;  1 070,03 ;   700,00 ;   800,00 ;   578,00 ;3555406
Área 001; 8 380 ; 4 529 ; 3 851 ;  1 000,45 ;  1 221,53 ;   740,45 ;   640,00 ;   780,00 ;   545,00 ;3555406003001
Área 002; 10 445 ; 5 681 ; 4 765 ;  1 260,74 ;  1 079,45 ;  1 476,86 ;   600,00 ;   700,00 ;   510,00 ;3555406003002
Área 003; 11 933 ; 6 330 ; 5 603 ;  1 362,25 ;  1 555,53 ;  1 143,91 ;   800,00 ;   850,00 ;   640,00 ;3555406003003
Área 004; 16 227 ; 8 535 ; 7 692 ;  1 473,88 ;  1 964,77 ;   929,21 ;   700,00 ;   800,00 ;   570,00 ;3555406003004
Valinhos; 69 118 ; 37 827 ; 31 290 ;  2 392,95 ;  2 940,59 ;  1 730,89 ;  1 100,00 ;  1 400,00 ;   900,00 ;3556206
Área 001; 11 782 ; 6 538 ; 5 244 ;  2 006,20 ;  2 698,00 ;  1 143,76 ;  1 100,00 ;  1 480,00 ;   815,00 ;3556206003001
Área 002; 13 499 ; 7 524 ; 5 975 ;  1 925,07 ;  2 382,93 ;  1 348,51 ;  1 000,00 ;  1 200,00 ;   800,00 ;3556206003002
Área 003; 11 954 ; 6 488 ; 5 466 ;  2 473,73 ;  2 932,69 ;  1 928,97 ;  1 480,00 ;  1 700,00 ;  1 000,00 ;3556206003003
Área 004; 15 502 ; 8 615 ; 6 888 ;  2 143,38 ;  2 429,64 ;  1 785,36 ;  1 000,00 ;  1 100,00 ;   800,00 ;3556206003004
Área 005; 16 381 ; 8 663 ; 7 717 ;  3 233,90 ;  4 121,93 ;  2 236,99 ;  1 300,00 ;  1 600,00 ;  1 000,00 ;3556206003005
Vargem Grande do Sul; 25 538 ; 14 177 ; 11 361 ;  1 082,63 ;  1 274,56 ;   843,11 ;   718,00 ;   900,00 ;   550,00 ;3556404
Área 001; 9 296 ; 5 248 ; 4 048 ;   905,42 ;  1 072,83 ;   688,39 ;   700,00 ;   800,00 ;   510,00 ;3556404003001
Área 002; 16 243 ; 8 930 ; 7 313 ;  1 184,04 ;  1 393,11 ;   928,75 ;   777,00 ;  1 000,00 ;   565,00 ;3556404003002
Vargem Grande Paulista; 24 538 ; 13 394 ; 11 143 ;  1 417,74 ;  1 617,54 ;  1 177,57 ;   850,00 ;  1 000,00 ;   700,00 ;3556453
Área 001; 11 875 ; 6 434 ; 5 441 ;  1 784,70 ;  2 054,85 ;  1 465,29 ;   950,00 ;  1 100,00 ;   710,00 ;3556453003001
Área 002; 12 663 ; 6 961 ; 5 702 ;  1 073,61 ;  1 213,36 ;   902,99 ;   800,00 ;  1 000,00 ;   700,00 ;3556453003002
Várzea Paulista; 59 015 ; 33 072 ; 25 943 ;  1 175,20 ;  1 438,34 ;   839,76 ;   900,00 ;  1 000,00 ;   700,00 ;3556503
Área 001; 7 298 ; 4 098 ; 3 200 ;   932,59 ;  1 085,58 ;   736,69 ;   800,00 ;  1 000,00 ;   648,00 ;3556503003001
Área 002; 9 091 ; 5 028 ; 4 063 ;   898,47 ;  1 085,25 ;   667,35 ;   750,00 ;   900,00 ;   600,00 ;3556503003002
Área 003; 17 271 ; 9 864 ; 7 407 ;  1 235,43 ;  1 491,62 ;   894,25 ;  1 000,00 ;  1 200,00 ;   700,00 ;3556503003003
Área 004; 25 355 ; 14 082 ; 11 273 ;  1 303,24 ;  1 629,74 ;   895,37 ;   900,00 ;  1 150,00 ;   700,00 ;3556503003004
Vinhedo; 40 685 ; 22 149 ; 18 535 ;  2 265,50 ;  2 799,49 ;  1 627,40 ;  1 020,00 ;  1 300,00 ;   900,00 ;3556701
Área 001; 8 762 ; 4 765 ; 3 997 ;  3 550,49 ;  4 406,32 ;  2 530,08 ;  1 500,00 ;  2 000,00 ;  1 100,00 ;3556701003001
Área 002; 13 604 ; 7 485 ; 6 119 ;  1 460,57 ;  1 787,56 ;  1 060,58 ;   900,00 ;  1 005,00 ;   800,00 ;3556701003002
Área 003; 18 319 ; 9 899 ; 8 420 ;  2 248,64 ;  2 791,14 ;  1 610,84 ;  1 101,00 ;  1 400,00 ;  1 000,00 ;3556701003003
Votorantim; 65 231 ; 36 422 ; 28 809 ;  1 160,50 ;  1 361,40 ;   906,51 ;   800,00 ;  1 000,00 ;   650,00 ;3557006
Área 001; 8 641 ; 5 113 ; 3 528 ;  1 021,38 ;  1 181,14 ;   789,86 ;   750,00 ;   820,00 ;   600,00 ;3557006003001
Área 002; 8 795 ; 4 859 ; 3 936 ;  1 002,67 ;  1 187,82 ;   774,11 ;   800,00 ;   900,00 ;   660,00 ;3557006003002
Área 003; 9 012 ; 5 220 ; 3 792 ;  1 117,60 ;  1 335,62 ;   817,45 ;   800,00 ;  1 000,00 ;   600,00 ;3557006003003
Área 004; 8 958 ; 5 025 ; 3 933 ;  1 222,55 ;  1 438,42 ;   946,73 ;   800,00 ;  1 000,00 ;   600,00 ;3557006003004
Área 005; 13 093 ; 7 162 ; 5 931 ;  1 377,76 ;  1 600,39 ;  1 108,89 ;  1 000,00 ;  1 100,00 ;   750,00 ;3557006003005
Área 006; 16 732 ; 9 043 ; 7 690 ;  1 135,19 ;  1 339,37 ;   895,07 ;   870,00 ;  1 000,00 ;   700,00 ;3557006003006
Votuporanga; 58 126 ; 30 667 ; 27 459 ;  1 407,01 ;  1 705,18 ;  1 074,01 ;   800,00 ;  1 000,00 ;   650,00 ;3557105
Área 001; 8 365 ; 4 225 ; 4 140 ;  1 934,93 ;  2 441,57 ;  1 417,94 ;   900,00 ;  1 100,00 ;   750,00 ;3557105003001
Área 002; 8 430 ; 4 294 ; 4 136 ;  1 369,29 ;  1 634,87 ;  1 093,56 ;   800,00 ;  1 020,00 ;   700,00 ;3557105003002
Área 003; 11 934 ; 6 534 ; 5 400 ;  1 277,75 ;  1 611,20 ;   874,33 ;   770,00 ;   900,00 ;   600,00 ;3557105003003
Área 004; 13 989 ; 7 555 ; 6 434 ;  1 326,36 ;  1 602,52 ;  1 002,06 ;   800,00 ;  1 000,00 ;   640,00 ;3557105003004
Área 005; 15 408 ; 8 059 ; 7 349 ;  1 314,39 ;  1 529,06 ;  1 078,97 ;   800,00 ;  1 000,00 ;   660,00 ;3557105003005
Paraná;;;;;;;;;;
Almirante Tamandaré; 60 309 ; 32 335 ; 27 973 ;  1 077,71 ;  1 254,87 ;   872,91 ;   750,00 ;   900,00 ;   620,00 ;4100400
Área 001; 9 612 ; 5 129 ; 4 482 ;  1 216,28 ;  1 391,98 ;  1 015,22 ;   760,00 ;   900,00 ;   660,00 ;4100400003001
Área 002; 10 263 ; 5 520 ; 4 742 ;   878,07 ;  1 015,79 ;   717,76 ;   700,00 ;   800,00 ;   576,00 ;4100400003002
Área 003; 19 693 ; 10 750 ; 8 943 ;   994,80 ;  1 146,14 ;   812,89 ;   750,00 ;   880,00 ;   600,00 ;4100400003003
Área 004; 20 741 ; 10 936 ; 9 805 ;  1 190,98 ;  1 418,13 ;   937,64 ;   800,00 ;   900,00 ;   700,00 ;4100400003004
Apucarana; 80 192 ; 42 133 ; 38 059 ;  1 204,31 ;  1 453,14 ;   928,84 ;   750,00 ;   900,00 ;   600,00 ;4101408
Área 001; 8 752 ; 4 998 ; 3 754 ;   860,87 ;   978,45 ;   704,31 ;   620,00 ;   750,00 ;   545,00 ;4101408003001
Área 002; 9 846 ; 4 933 ; 4 913 ;  2 047,17 ;  2 626,15 ;  1 465,87 ;  1 000,00 ;  1 200,00 ;   810,00 ;4101408003002
Área 003; 9 392 ; 4 898 ; 4 494 ;  1 320,10 ;  1 624,77 ;   988,08 ;   800,00 ;   950,00 ;   620,00 ;4101408003003
Área 004; 8 762 ; 4 674 ; 4 088 ;   833,06 ;   997,09 ;   645,50 ;   650,00 ;   800,00 ;   525,00 ;4101408003004
Área 005; 8 641 ; 4 661 ; 3 980 ;   781,70 ;   903,66 ;   638,86 ;   620,00 ;   750,00 ;   550,00 ;4101408003005
Área 006; 14 184 ; 7 340 ; 6 845 ;  1 290,60 ;  1 553,96 ;  1 008,19 ;   800,00 ;  1 000,00 ;   670,00 ;4101408003006
Área 007; 20 615 ; 10 629 ; 9 985 ;  1 170,37 ;  1 424,81 ;   899,53 ;   780,00 ;  1 000,00 ;   620,00 ;4101408003007
Arapongas; 66 460 ; 36 223 ; 30 238 ;  1 307,83 ;  1 559,24 ;  1 006,65 ;   800,00 ;   970,00 ;   650,00 ;4101507
Área 001; 8 684 ; 4 727 ; 3 957 ;  1 081,54 ;  1 270,72 ;   855,53 ;   750,00 ;   900,00 ;   625,00 ;4101507003001
Área 002; 8 812 ; 5 010 ; 3 802 ;   901,51 ;  1 068,90 ;   680,93 ;   700,00 ;   800,00 ;   600,00 ;4101507003002
Área 003; 8 951 ; 4 691 ; 4 260 ;  2 283,67 ;  2 751,32 ;  1 768,72 ;  1 000,00 ;  1 120,00 ;   800,00 ;4101507003003
Área 004; 12 861 ; 7 101 ; 5 760 ;  1 099,06 ;  1 326,06 ;   819,22 ;   800,00 ;   940,00 ;   627,00 ;4101507003004
Área 005; 12 796 ; 6 806 ; 5 990 ;  1 581,32 ;  1 942,84 ;  1 170,52 ;   900,00 ;  1 150,00 ;   700,00 ;4101507003005
Área 006; 14 356 ; 7 887 ; 6 469 ;  1 028,88 ;  1 213,49 ;   803,80 ;   730,00 ;   880,00 ;   650,00 ;4101507003006
