Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 003; 15 546 ; 8 376 ; 7 170 ;   717,36 ;   822,49 ;   594,55 ;   510,00 ;   510,00 ;   510,00 ;1302504003003
Manaus; 888 249 ; 475 634 ; 412 615 ;  1 494,69 ;  1 728,51 ;  1 225,17 ;   700,00 ;   800,00 ;   600,00 ;1302603
Aleixo-Adrianópolis-Nossa Senhora das Graças; 24 953 ; 12 225 ; 12 728 ;  4 777,46 ;  6 570,53 ;  3 055,25 ;  1 800,00 ;  2 000,00 ;  1 500,00 ;1302603005008
Alvorada; 35 267 ; 18 327 ; 16 940 ;  1 187,08 ;  1 357,77 ;  1 002,42 ;   800,00 ;   900,00 ;   650,00 ;1302603005005
Armando Mendes-Zumbi dos Palmares; 29 929 ; 16 468 ; 13 461 ;   748,46 ;   872,11 ;   597,19 ;   510,00 ;   605,00 ;   510,00 ;1302603005009
Betânia-Crespo-São Lázaro-Vila Buriti; 20 621 ; 11 360 ; 9 261 ;  1 310,29 ;  1 519,01 ;  1 054,28 ;   750,00 ;   900,00 ;   585,00 ;1302603005020
Cachoeirinha-Praça 14 de Janeiro-Raiz; 20 418 ; 10 027 ; 10 390 ;  1 566,18 ;  1 865,35 ;  1 277,46 ;   980,00 ;  1 000,00 ;   800,00 ;1302603005010
Centro-Nossa Senhora Aparecida; 21 271 ; 10 519 ; 10 752 ;  2 137,84 ;  2 412,14 ;  1 869,48 ;  1 000,00 ;  1 020,00 ;   800,00 ;1302603005011
Cidade de Deus; 33 521 ; 18 488 ; 15 032 ;   806,48 ;   979,26 ;   593,96 ;   550,00 ;   670,00 ;   510,00 ;1302603005006
Cidade Nova; 60 332 ; 31 366 ; 28 966 ;  1 368,28 ;  1 623,00 ;  1 092,47 ;   800,00 ;   900,00 ;   650,00 ;1302603005007
Colônia Oliveira Machado-Educandos-Santa Luzia, Morro da Liberdade; 21 390 ; 11 505 ; 9 884 ;  1 129,65 ;  1 296,96 ;   934,89 ;   700,00 ;   820,00 ;   600,00 ;1302603005003
Colônia Santo Antônio-Novo Israel; 17 352 ; 9 594 ; 7 758 ;   830,95 ;   969,47 ;   659,65 ;   550,00 ;   700,00 ;   510,00 ;1302603005024
